BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
1721;Wahlkreis St.Gallen;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2012;2.1;Anz.;Anzahl;
1721;Wahlkreis St.Gallen;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2013;2.2;Anz.;Anzahl;
1721;Wahlkreis St.Gallen;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2014;2.1;Anz.;Anzahl;
1721;Wahlkreis St.Gallen;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2015;2.1;Anz.;Anzahl;
1721;Wahlkreis St.Gallen;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2016;2.1;Anz.;Anzahl;
1721;Wahlkreis St.Gallen;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2017;2.1;Anz.;Anzahl;
1721;Wahlkreis St.Gallen;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2018;2.1;Anz.;Anzahl;
1721;Wahlkreis St.Gallen;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2019;2.1;Anz.;Anzahl;
1721;Wahlkreis St.Gallen;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2020;2.1;Anz.;Anzahl;
1721;Wahlkreis St.Gallen;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2021;2.1;Anz.;Anzahl;
1721;Wahlkreis St.Gallen;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2022;2.1;Anz.;Anzahl;
1722;Wahlkreis Rorschach;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2012;2.3;Anz.;Anzahl;
1722;Wahlkreis Rorschach;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2013;2.3;Anz.;Anzahl;
1722;Wahlkreis Rorschach;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2014;2.2;Anz.;Anzahl;
1722;Wahlkreis Rorschach;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2015;2.2;Anz.;Anzahl;
1722;Wahlkreis Rorschach;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2016;2.2;Anz.;Anzahl;
1722;Wahlkreis Rorschach;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2017;2.2;Anz.;Anzahl;
1722;Wahlkreis Rorschach;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2018;2.2;Anz.;Anzahl;
1722;Wahlkreis Rorschach;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2019;2.2;Anz.;Anzahl;
1722;Wahlkreis Rorschach;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2020;2.2;Anz.;Anzahl;
1722;Wahlkreis Rorschach;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2021;2.2;Anz.;Anzahl;
1722;Wahlkreis Rorschach;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2022;2.2;Anz.;Anzahl;
1723;Wahlkreis Rheintal;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2012;2.4;Anz.;Anzahl;
1723;Wahlkreis Rheintal;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2013;2.4;Anz.;Anzahl;
1723;Wahlkreis Rheintal;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2014;2.4;Anz.;Anzahl;
1723;Wahlkreis Rheintal;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2015;2.4;Anz.;Anzahl;
1723;Wahlkreis Rheintal;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2016;2.4;Anz.;Anzahl;
1723;Wahlkreis Rheintal;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2017;2.4;Anz.;Anzahl;
1723;Wahlkreis Rheintal;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2018;2.3;Anz.;Anzahl;
1723;Wahlkreis Rheintal;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2019;2.3;Anz.;Anzahl;
1723;Wahlkreis Rheintal;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2020;2.3;Anz.;Anzahl;
1723;Wahlkreis Rheintal;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2021;2.3;Anz.;Anzahl;
1723;Wahlkreis Rheintal;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2022;2.3;Anz.;Anzahl;
1724;Wahlkreis Werdenberg;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2012;2.4;Anz.;Anzahl;
1724;Wahlkreis Werdenberg;Bevölkerung;Haushalte;null;98;Personen pro Privathaushalt  [Anz.];2013;2.4;Anz.;Anzahl;
