BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
3201;Häggenschwil;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];1990;302;Anz.;Anzahl;
3201;Häggenschwil;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2000;402;Anz.;Anzahl;
3201;Häggenschwil;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2009;449;Anz.;Anzahl;
3201;Häggenschwil;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2010;449;Anz.;Anzahl;
3201;Häggenschwil;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2011;456;Anz.;Anzahl;
3201;Häggenschwil;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2012;460;Anz.;Anzahl;
3201;Häggenschwil;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2013;462;Anz.;Anzahl;
3201;Häggenschwil;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2014;489;Anz.;Anzahl;
3201;Häggenschwil;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2015;509;Anz.;Anzahl;
3201;Häggenschwil;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2016;515;Anz.;Anzahl;
3201;Häggenschwil;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2017;522;Anz.;Anzahl;
3201;Häggenschwil;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2018;547;Anz.;Anzahl;
3201;Häggenschwil;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2019;551;Anz.;Anzahl;
3201;Häggenschwil;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2020;556;Anz.;Anzahl;
3201;Häggenschwil;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2021;555;Anz.;Anzahl;
3201;Häggenschwil;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2022;557;Anz.;Anzahl;
3202;Muolen;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];1990;332;Anz.;Anzahl;
3202;Muolen;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2000;386;Anz.;Anzahl;
3202;Muolen;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2009;451;Anz.;Anzahl;
3202;Muolen;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2010;451;Anz.;Anzahl;
3202;Muolen;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2011;457;Anz.;Anzahl;
3202;Muolen;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2012;466;Anz.;Anzahl;
3202;Muolen;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2013;469;Anz.;Anzahl;
3202;Muolen;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2014;470;Anz.;Anzahl;
3202;Muolen;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2015;498;Anz.;Anzahl;
3202;Muolen;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2016;499;Anz.;Anzahl;
3202;Muolen;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2017;507;Anz.;Anzahl;
3202;Muolen;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2018;510;Anz.;Anzahl;
3202;Muolen;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2019;539;Anz.;Anzahl;
3202;Muolen;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2020;544;Anz.;Anzahl;
3202;Muolen;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2021;541;Anz.;Anzahl;
3202;Muolen;Bau und Immobilien;Wohnungen;Wohnungsbestand;80;Wohnungen [Anz.];2022;545;Anz.;Anzahl;
