"Grossregion (<<) / Kanton (-) / Gemeinde (......)";"Anzahl Wohnräume";"Leerwohnung (Typ)";"Anzahl/Anteil";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"- Kanton St. Gallen";"Anzahl Wohnräume - Total";"Leer stehende Wohnung - Total";"Anzahl";2714;3462;4041;5058;5013;4976;4665;3981;3605;3594;3463;3596;3424;3256;3141;3381;3398;3442;3607;3950;4394;4412;4651;5607;5618;6291;5426;4527;3834
"- Kanton St. Gallen";"Anzahl Wohnräume - Total";"Leer stehende Wohnung - Total";"Leerwohnungsziffer";...;...;2.04;2.53;2.48;2.44;2.26;1.91;1.72;1.70;1.62;1.66;1.57;1.48;1.41;1.47;1.46;1.46;1.51;1.63;1.79;1.77;1.84;2.20;2.18;2.41;2.05;1.69;1.42
"- Kanton St. Gallen";"Anzahl Wohnräume - Total";"Leer stehendes Einfamilienhaus";"Anzahl";286;365;337;306;269;351;379;365;384;307;392;420;441;408;424;296;327;361;351;334;382;377;366;471;462;414;305;280;326
"- Kanton St. Gallen";"Anzahl Wohnräume - Total";"Leer stehendes Einfamilienhaus";"Leerwohnungsziffer";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
"- Kanton St. Gallen";"Anzahl Wohnräume - Total";"Leer stehende Wohnung in Mehrfamilienhaus";"Anzahl";2428;3097;3704;4752;4744;4625;4286;3616;3221;3287;3071;3176;2983;2848;2717;3085;3071;3081;3256;3616;4012;4035;4285;5136;5156;5877;5121;4247;3508
"- Kanton St. Gallen";"Anzahl Wohnräume - Total";"Leer stehende Wohnung in Mehrfamilienhaus";"Leerwohnungsziffer";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
"- Kanton St. Gallen";"Anzahl Wohnräume - Total";"Leer stehende Neubauwohnung";"Anzahl";916;1231;785;708;411;305;155;148;141;338;305;213;344;390;412;392;283;272;605;695;588;546;717;723;705;702;629;308;204
"- Kanton St. Gallen";"Anzahl Wohnräume - Total";"Leer stehende Neubauwohnung";"Leerwohnungsziffer";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
"- Kanton St. Gallen";"Anzahl Wohnräume - Total";"Leer stehende Altbauwohnung";"Anzahl";1798;2231;3256;4350;4602;4671;4510;3833;3464;3256;3158;3383;3080;2866;2729;2989;3115;3170;3002;3255;3806;3866;3934;4884;4913;5589;4797;4219;3630
"- Kanton St. Gallen";"Anzahl Wohnräume - Total";"Leer stehende Altbauwohnung";"Leerwohnungsziffer";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
