BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
3201;Häggenschwil;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2012;428;Anz.;Anzahl;
3201;Häggenschwil;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2013;435;Anz.;Anzahl;
3201;Häggenschwil;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2014;441;Anz.;Anzahl;
3201;Häggenschwil;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2015;464;Anz.;Anzahl;
3201;Häggenschwil;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2016;481;Anz.;Anzahl;
3201;Häggenschwil;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2017;483;Anz.;Anzahl;
3201;Häggenschwil;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2018;505;Anz.;Anzahl;
3201;Häggenschwil;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2019;518;Anz.;Anzahl;
3201;Häggenschwil;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2020;516;Anz.;Anzahl;
3201;Häggenschwil;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2021;517;Anz.;Anzahl;
3201;Häggenschwil;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2022;518;Anz.;Anzahl;
3202;Muolen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2012;428;Anz.;Anzahl;
3202;Muolen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2013;429;Anz.;Anzahl;
3202;Muolen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2014;435;Anz.;Anzahl;
3202;Muolen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2015;449;Anz.;Anzahl;
3202;Muolen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2016;455;Anz.;Anzahl;
3202;Muolen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2017;454;Anz.;Anzahl;
3202;Muolen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2018;458;Anz.;Anzahl;
3202;Muolen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2019;474;Anz.;Anzahl;
3202;Muolen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2020;476;Anz.;Anzahl;
3202;Muolen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2021;491;Anz.;Anzahl;
3202;Muolen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2022;492;Anz.;Anzahl;
3203;Stadt St.Gallen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2012;35692;Anz.;Anzahl;
3203;Stadt St.Gallen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2013;35935;Anz.;Anzahl;
3203;Stadt St.Gallen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2014;36238;Anz.;Anzahl;
3203;Stadt St.Gallen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2015;36218;Anz.;Anzahl;
3203;Stadt St.Gallen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2016;36615;Anz.;Anzahl;
3203;Stadt St.Gallen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2017;36837;Anz.;Anzahl;
3203;Stadt St.Gallen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2018;36990;Anz.;Anzahl;
3203;Stadt St.Gallen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2019;37322;Anz.;Anzahl;
3203;Stadt St.Gallen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2020;37767;Anz.;Anzahl;
3203;Stadt St.Gallen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2021;37853;Anz.;Anzahl;
3203;Stadt St.Gallen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2022;38216;Anz.;Anzahl;
3204;Wittenbach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2012;4124;Anz.;Anzahl;
3204;Wittenbach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2013;4137;Anz.;Anzahl;
3204;Wittenbach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2014;4152;Anz.;Anzahl;
3204;Wittenbach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2015;4162;Anz.;Anzahl;
