BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1981;766;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1982;776;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1983;771;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1984;752;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1985;769;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1986;761;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1987;807;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1988;803;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1989;827;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1990;860;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1991;987;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1992;1004;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1993;1006;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1994;1005;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1995;1006;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1996;1037;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1997;1062;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1998;1074;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1999;1093;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2000;1134;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2001;1194;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2002;1204;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2003;1197;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2004;1186;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2005;1166;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2006;1137;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2007;1167;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2008;1183;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2009;1164;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2010;1187;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2011;1200;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2012;1214;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2013;1223;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2014;1225;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2015;1264;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2016;1310;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2017;1332;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2018;1365;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2019;1390;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2020;1389;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2021;1376;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2022;1393;Pers.;Personen;
3201;Häggenschwil;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2023;1431;Pers.;Personen;
3202;Muolen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1981;869;Pers.;Personen;
3202;Muolen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1982;888;Pers.;Personen;
3202;Muolen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1983;904;Pers.;Personen;
3202;Muolen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1984;929;Pers.;Personen;
3202;Muolen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1985;937;Pers.;Personen;
3202;Muolen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1986;956;Pers.;Personen;
3202;Muolen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1987;977;Pers.;Personen;
3202;Muolen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1988;975;Pers.;Personen;
3202;Muolen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1989;970;Pers.;Personen;
3202;Muolen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1990;980;Pers.;Personen;
3202;Muolen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1991;1035;Pers.;Personen;
3202;Muolen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1992;1012;Pers.;Personen;
3202;Muolen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1993;996;Pers.;Personen;
3202;Muolen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1994;985;Pers.;Personen;
3202;Muolen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1995;986;Pers.;Personen;
3202;Muolen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1996;1004;Pers.;Personen;
3202;Muolen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1997;1020;Pers.;Personen;
3202;Muolen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1998;1041;Pers.;Personen;
3202;Muolen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1999;1049;Pers.;Personen;
