BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1981;109320;Pers.;Personen;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1982;109554;Pers.;Personen;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1983;109687;Pers.;Personen;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1984;109990;Pers.;Personen;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1985;110209;Pers.;Personen;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1986;110262;Pers.;Personen;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1987;110345;Pers.;Personen;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1988;110881;Pers.;Personen;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1989;111458;Pers.;Personen;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1990;112003;Pers.;Personen;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1991;110642;Pers.;Personen;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1992;111191;Pers.;Personen;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1993;111714;Pers.;Personen;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1994;112277;Pers.;Personen;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1995;111907;Pers.;Personen;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1996;111702;Pers.;Personen;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1997;111424;Pers.;Personen;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1998;110863;Pers.;Personen;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1999;111213;Pers.;Personen;
