"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Gebäudekategorie";"Anzahl Zimmer";"Bauperiode";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"......3201 Häggenschwil";"Einfamilienhäuser";"1 Zimmer";"Vor 1919";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Einfamilienhäuser";"1 Zimmer";"1919-1945";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Einfamilienhäuser";"1 Zimmer";"1946-1960";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Einfamilienhäuser";"1 Zimmer";"1961-1970";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Einfamilienhäuser";"1 Zimmer";"1971-1980";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Einfamilienhäuser";"1 Zimmer";"1981-1990";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Einfamilienhäuser";"1 Zimmer";"1991-2000";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Einfamilienhäuser";"1 Zimmer";"2001-2005";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Einfamilienhäuser";"1 Zimmer";"2006-2010";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Einfamilienhäuser";"1 Zimmer";"2011-2015";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Einfamilienhäuser";"1 Zimmer";"2016-2022";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Einfamilienhäuser";"2 Zimmer";"Vor 1919";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Einfamilienhäuser";"2 Zimmer";"1919-1945";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Einfamilienhäuser";"2 Zimmer";"1946-1960";0;0;0;0;0;0;0;0;0;0;0;0;0
