BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
1721;Wahlkreis St.Gallen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2012;54344;Anz.;Anzahl;
1721;Wahlkreis St.Gallen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2013;54714;Anz.;Anzahl;
1721;Wahlkreis St.Gallen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2014;55215;Anz.;Anzahl;
1721;Wahlkreis St.Gallen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2015;55316;Anz.;Anzahl;
1721;Wahlkreis St.Gallen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2016;55942;Anz.;Anzahl;
1721;Wahlkreis St.Gallen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2017;56246;Anz.;Anzahl;
1721;Wahlkreis St.Gallen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2018;56547;Anz.;Anzahl;
1721;Wahlkreis St.Gallen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2019;57058;Anz.;Anzahl;
1721;Wahlkreis St.Gallen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2020;57565;Anz.;Anzahl;
1721;Wahlkreis St.Gallen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2021;57861;Anz.;Anzahl;
1721;Wahlkreis St.Gallen;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2022;58375;Anz.;Anzahl;
1722;Wahlkreis Rorschach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2012;17882;Anz.;Anzahl;
1722;Wahlkreis Rorschach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2013;18170;Anz.;Anzahl;
1722;Wahlkreis Rorschach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2014;18490;Anz.;Anzahl;
1722;Wahlkreis Rorschach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2015;18579;Anz.;Anzahl;
1722;Wahlkreis Rorschach;Bevölkerung;Haushalte;null;97;Privathaushalte der ständigen Wohnbevölkerung [Anz.];2016;18665;Anz.;Anzahl;
