"Jahr";"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Haushaltsgrösse - Total";"1 Person";"2 Personen";"3 Personen";"4 Personen";"5 Personen";"6 oder mehr Personen"
"2012";"- St. Gallen";205308;68554;67053;26204;27531;11110;4856
"2012";">> Wahlkreis St. Gallen";54361;21520;17171;6293;6139;2268;970
"2012";"......3201 Häggenschwil";428;99;135;44;83;48;19
"2012";"......3202 Muolen";428;95;151;51;72;32;27
"2012";"......3203 St. Gallen";35706;15922;10822;3912;3343;1186;521
"2012";"......3204 Wittenbach";4124;1332;1441;531;563;184;73
"2012";"......3212 Eggersriet";886;228;320;119;138;58;23
"2012";"......3441 Andwil (SG)";697;167;222;89;138;54;27
"2012";"......3442 Gaiserwald";3290;920;1162;443;532;171;62
"2012";"......3443 Gossau (SG)";7592;2490;2563;913;1042;423;161
"2012";"......3444 Waldkirch";1210;267;355;191;228;112;57
"2012";">> Wahlkreis Rorschach";17893;6073;5968;2318;2285;911;338
"2012";"......3211 Berg (SG)";312;68;115;37;54;23;15
"2012";"......3213 Goldach";4062;1383;1420;537;495;176;51
"2012";"......3214 Mörschwil";1377;325;497;180;244;98;33
"2012";"......3215 Rorschach";4069;1793;1142;457;377;199;101
"2012";"......3216 Rorschacherberg";3070;996;1081;432;389;132;40
"2012";"......3217 Steinach";1476;470;539;186;190;72;19
"2012";"......3218 Tübach";523;147;186;61;86;31;12
"2012";"......3219 Untereggen";355;62;106;64;76;35;12
"2012";"......3237 Thal";2649;829;882;364;374;145;55
"2012";">> Wahlkreis Rheintal";27883;8373;9114;3865;4153;1673;705
"2012";"......3231 Au (SG)";3054;1005;1028;421;399;137;64
"2012";"......3232 Balgach";1867;542;653;256;273;110;33
"2012";"......3233 Berneck";1564;472;511;234;236;91;20
"2012";"......3234 Diepoldsau";2247;555;749;347;390;147;59
"2012";"......3235 Rheineck";1426;524;443;180;188;67;24
"2012";"......3236 St. Margrethen";2376;793;729;337;314;137;66
"2012";"......3238 Widnau";3560;997;1193;486;600;201;83
"2012";"......3251 Altstätten";4571;1505;1481;589;572;280;144
"2012";"......3252 Eichberg";579;149;179;89;103;48;11
"2012";"......3253 Marbach (SG)";780;184;251;113;150;63;19
"2012";"......3254 Oberriet (SG)";3190;835;999;456;565;228;107
"2012";"......3255 Rebstein";1816;570;598;237;262;101;48
"2012";"......3256 Rüthi (SG)";853;242;300;120;101;63;27
"2012";">> Wahlkreis Werdenberg";14855;4609;4821;2010;2114;859;442
"2012";"......3271 Buchs (SG)";4847;1694;1516;633;600;250;154
"2012";"......3272 Gams";1213;320;381;183;191;93;45
"2012";"......3273 Grabs";2722;723;931;372;441;168;87
"2012";"......3274 Sennwald";2075;650;683;286;303;111;42
"2012";"......3275 Sevelen";1879;562;620;271;260;110;56
"2012";"......3276 Wartau";2119;660;690;265;319;127;58
"2012";">> Wahlkreis Sarganserland";16137;5105;5225;2151;2274;997;385
"2012";"......3291 Bad Ragaz";2492;928;801;314;293;109;47
"2012";"......3292 Flums";1911;587;555;266;291;139;73
"2012";"......3293 Mels";3315;892;1077;483;535;243;85
"2012";"......3294 Pfäfers";611;187;190;73;80;64;17
"2012";"......3295 Quarten";1175;374;436;121;146;67;31
"2012";"......3296 Sargans";2541;867;864;353;293;117;47
"2012";"......3297 Vilters-Wangs";1769;493;556;251;300;128;41
"2012";"......3298 Walenstadt";2323;777;746;290;336;130;44
"2012";">> Wahlkreis See-Gaster";26475;8150;8990;3521;3855;1395;564
"2012";"......3311 Amden";747;265;275;79;85;30;13
"2012";"......3312 Benken (SG)";1038;246;340;152;180;87;33
"2012";"......3313 Kaltbrunn";1758;485;556;248;290;121;58
"2012";"......3315 Schänis";1407;371;460;212;233;87;44
"2012";"......3316 Weesen";696;253;233;68;97;29;16
"2012";"......3338 Schmerikon";1403;401;485;209;225;61;22
"2012";"......3339 Uznach";2354;654;783;325;367;159;66
"2012";"......3340 Rapperswil-Jona";11703;3996;4061;1522;1514;457;153
"2012";"......3341 Gommiswald";2007;604;695;243;288;121;56
"2012";"......3342 Eschenbach (SG)";3362;875;1102;463;576;243;103
"2012";">> Wahlkreis Toggenburg";17855;5446;5824;2247;2429;1220;689
"2012";"......3352 Ebnat-Kappel";2050;645;720;251;272;128;34
"2012";"......3359 Wildhaus-Alt St. Johann";1125;403;368;122;121;59;52
"2012";"......3360 Nesslau";1474;471;488;171;184;96;64
"2012";"......3372 Hemberg";340;85;121;40;43;31;20
"2012";"......3374 Lichtensteig";925;412;275;83;104;35;16
"2012";"......3375 Oberhelfenschwil";482;119;162;63;68;37;33
"2012";"......3378 Neckertal";1576;477;504;203;209;100;83
"2012";"......3379 Wattwil";3396;1086;1139;407;440;210;114
"2012";"......3392 Kirchberg (SG)";3252;922;1000;479;517;228;106
"2012";"......3393 Lütisburg";519;120;175;79;66;49;30
"2012";"......3394 Mosnang";1005;244;318;124;151;101;67
"2012";"......3395 Bütschwil-Ganterschwil";1711;462;554;225;254;146;70
"2012";">> Wahlkreis Wil";29849;9278;9940;3799;4282;1787;763
"2012";"......3401 Degersheim";1569;504;489;202;199;111;64
"2012";"......3402 Flawil";4251;1406;1357;541;623;229;95
"2012";"......3405 Jonschwil";1416;337;471;205;265;101;37
"2012";"......3407 Oberuzwil";2358;658;801;299;361;169;70
"2012";"......3408 Uzwil";5134;1511;1702;683;782;331;125
"2012";"......3422 Niederbüren";508;110;153;79;85;47;34
"2012";"......3423 Niederhelfenschwil";1003;193;304;142;202;116;46
"2012";"......3424 Oberbüren";1602;397;571;220;249;121;44
"2012";"......3426 Zuzwil (SG)";1840;417;666;273;346;105;33
"2012";"......3427 Wil (SG)";10168;3745;3426;1155;1170;457;215
"2013";"- St. Gallen";208191;69790;68424;26428;27674;11077;4798
"2013";">> Wahlkreis St. Gallen";54715;21525;17431;6338;6216;2240;965
"2013";"......3201 Häggenschwil";435;101;132;51;93;41;17
"2013";"......3202 Muolen";429;99;150;49;73;37;21
"2013";"......3203 St. Gallen";35936;15921;10983;3939;3422;1150;521
"2013";"......3204 Wittenbach";4137;1323;1467;536;553;187;71
"2013";"......3212 Eggersriet";894;234;321;126;133;60;20
"2013";"......3441 Andwil (SG)";712;165;238;87;138;56;28
"2013";"......3442 Gaiserwald";3305;924;1188;428;535;163;67
"2013";"......3443 Gossau (SG)";7649;2495;2589;936;1042;425;162
"2013";"......3444 Waldkirch";1218;263;363;186;227;121;58
"2013";">> Wahlkreis Rorschach";18170;6207;6131;2311;2282;918;321
"2013";"......3211 Berg (SG)";313;66;116;46;46;25;14
"2013";"......3213 Goldach";4104;1388;1446;528;500;194;48
"2013";"......3214 Mörschwil";1378;308;513;190;235;98;34
"2013";"......3215 Rorschach";4167;1863;1163;458;391;198;94
"2013";"......3216 Rorschacherberg";3044;966;1110;420;381;132;35
"2013";"......3217 Steinach";1537;520;544;191;192;69;21
"2013";"......3218 Tübach";541;161;189;57;92;30;12
"2013";"......3219 Untereggen";365;74;111;62;69;39;10
"2013";"......3237 Thal";2721;861;939;359;376;133;53
"2013";">> Wahlkreis Rheintal";28285;8506;9320;3908;4178;1652;721
"2013";"......3231 Au (SG)";3127;1043;1049;424;404;139;68
"2013";"......3232 Balgach";1885;554;670;250;272;103;36
"2013";"......3233 Berneck";1590;483;536;219;238;92;22
"2013";"......3234 Diepoldsau";2284;567;756;352;391;157;61
"2013";"......3235 Rheineck";1427;511;468;165;186;73;24
"2013";"......3236 St. Margrethen";2346;762;730;335;320;137;62
"2013";"......3238 Widnau";3723;1089;1239;513;603;198;81
"2013";"......3251 Altstätten";4552;1455;1503;591;573;276;154
"2013";"......3252 Eichberg";580;150;176;94;107;44;9
"2013";"......3253 Marbach (SG)";810;200;256;135;146;56;17
"2013";"......3254 Oberriet (SG)";3256;863;1031;453;578;226;105
"2013";"......3255 Rebstein";1827;580;589;245;268;92;53
"2013";"......3256 Rüthi (SG)";878;249;317;132;92;59;29
"2013";">> Wahlkreis Werdenberg";15269;4839;5040;1963;2124;849;454
"2013";"......3271 Buchs (SG)";5040;1790;1598;627;608;254;163
"2013";"......3272 Gams";1248;338;417;160;196;94;43
"2013";"......3273 Grabs";2768;764;962;352;430;165;95
