BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;3;Ständige Wohnbevölkerung (Szenario Trend) [Pers.];2025;127026;Pers.;Personen;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;3;Ständige Wohnbevölkerung (Szenario Trend) [Pers.];2030;131443;Pers.;Personen;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;3;Ständige Wohnbevölkerung (Szenario Trend) [Pers.];2035;135951;Pers.;Personen;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;3;Ständige Wohnbevölkerung (Szenario Trend) [Pers.];2040;140769;Pers.;Personen;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;3;Ständige Wohnbevölkerung (Szenario Trend) [Pers.];2045;145748;Pers.;Personen;
1721;Wahlkreis St.Gallen;Bevölkerung;Bevölkerungsbestand;null;3;Ständige Wohnbevölkerung (Szenario Trend) [Pers.];2050;150672;Pers.;Personen;
1722;Wahlkreis Rorschach;Bevölkerung;Bevölkerungsbestand;null;3;Ständige Wohnbevölkerung (Szenario Trend) [Pers.];2025;45814;Pers.;Personen;
1722;Wahlkreis Rorschach;Bevölkerung;Bevölkerungsbestand;null;3;Ständige Wohnbevölkerung (Szenario Trend) [Pers.];2030;47797;Pers.;Personen;
1722;Wahlkreis Rorschach;Bevölkerung;Bevölkerungsbestand;null;3;Ständige Wohnbevölkerung (Szenario Trend) [Pers.];2035;49780;Pers.;Personen;
1722;Wahlkreis Rorschach;Bevölkerung;Bevölkerungsbestand;null;3;Ständige Wohnbevölkerung (Szenario Trend) [Pers.];2040;51807;Pers.;Personen;
